frame,keypoint,X,Y,Z,visible
52,LHand,[11057.03517949],[344.39614446],[1017.05652967],1
53,Hips,[11479.60050977],[470.961259],[920.81935545],1
53,RHip,[11479.96428759],[623.28007862],[911.62980371],1
53,RKnee,[11339.701264],[649.50079266],[499.63166938],1
53,RAnkle,[11656.96386087],[522.69282162],[352.09767247],1
53,RFoot,[11683.89603368],[544.08876595],[185.8058135],1
53,LHip,[11446.78736134],[330.07298622],[909.79058364],1
53,LKnee,[11408.43906727],[432.33164145],[452.72611853],1
53,LAnkle,[11660.27937403],[409.7384076],[155.48301777],1
53,LFoot,[11541.26737365],[442.46191312],[55.39165535],1
53,Spine,[11379.72533243],[481.8242879],[1193.09385332],1
53,Neck,[11215.13162185],[530.05292678],[1429.07736791],1
53,Head,[11096.36562284],[585.96299089],[1572.19803622],1
53,RShoulder,[11312.48910036],[709.54236087],[1369.98926693],1
53,RElbow,[11526.98286927],[761.72114667],[1131.55097909],1
53,RHand,[11394.10847199],[780.56116775],[928.82312001],1
53,LShoulder,[11178.55260503],[332.93153615],[1399.73843471],1
53,LElbow,[11248.6635676],[249.55635615],[1071.02399674],1
53,LHand,[11020.40033713],[362.12881968],[1001.59376329],1
54,Hips,[11451.71240546],[498.74455052],[918.05771261],1
54,RHip,[11448.73898461],[655.55602597],[908.35781342],1
54,RKnee,[11300.81920372],[681.59802457],[496.76477503],1
54,RAnkle,[11625.77707443],[553.97320738],[357.03902466],1
54,RFoot,[11653.49523385],[574.32339148],[189.15991971],1
54,LHip,[11421.02271792],[353.67704263],[907.03257648],1
54,LKnee,[11380.43482488],[456.64089944],[449.1927299],1
54,LAnkle,[11637.40592986],[436.80255943],[153.35942487],1
54,LFoot,[11513.868124],[469.05227321],[54.14604862],1
54,Spine,[11350.15127186],[508.59144561],[1189.76619614],1
54,Neck,[11182.81795798],[556.73952213],[1424.43601372],1
54,Head,[11062.51005393],[614.06173617],[1567.22421213],1
54,RShoulder,[11279.17872589],[741.75977243],[1363.99870946],1
54,RElbow,[11499.69916647],[792.43043672],[1119.24087557],1
54,RHand,[11367.90671478],[809.86077083],[905.89254131],1
54,LShoulder,[11148.40478344],[354.30798547],[1395.49616223],1
54,LElbow,[11222.17174132],[265.85410308],[1059.74722158],1
54,LHand,[10983.76549477],[379.8614949],[986.13099691],1
55,Hips,[11423.82430114],[526.52784205],[915.29606978],1
55,RHip,[11417.51368163],[687.83197332],[905.08582314],1
55,RKnee,[11261.93714344],[713.69525647],[493.89788068],1
55,RAnkle,[11594.59028799],[585.25359314],[361.98037685],1
55,RFoot,[11623.09443401],[604.55801702],[192.51402592],1
55,LHip,[11395.2580745],[377.28109905],[904.27456931],1
55,LKnee,[11352.43058248],[480.95015742],[445.65934128],1
55,LAnkle,[11614.53248568],[463.86671126],[151.23583196],1
55,LFoot,[11486.46887435],[495.6426333],[52.90044189],1
55,Spine,[11320.5772113],[535.35860331],[1186.43853897],1
55,Neck,[11150.5042941],[583.42611749],[1419.79465952],1
55,Head,[11028.65448502],[642.16048146],[1562.25038805],1
55,RShoulder,[11245.86835143],[773.977184],[1358.00815198],1
55,RElbow,[11472.41546367],[823.13972678],[1106.93077205],1
55,RHand,[11341.70495757],[839.16037391],[882.96196262],1
55,LShoulder,[11118.25696185],[375.68443479],[1391.25388974],1
55,LElbow,[11195.67991504],[282.15185001],[1048.47044642],1
55,LHand,[10947.13065242],[397.59417012],[970.66823053],1
56,Hips,[11395.93619682],[554.31113357],[912.53442694],1
56,RHip,[11386.28837864],[720.10792067],[901.81383285],1
56,RKnee,[11223.05508315],[745.79248837],[491.03098633],1
56,RAnkle,[11563.40350155],[616.5339789],[366.92172904],1
56,RFoot,[11592.69363417],[634.79264255],[195.86813214],1
56,LHip,[11369.49343108],[400.88515547],[901.51656214],1
56,LKnee,[11324.42634008],[505.25941541],[442.12595266],1
56,LAnkle,[11591.6590415],[490.93086309],[149.11223906],1
56,LFoot,[11459.0696247],[522.23299339],[51.65483517],1
56,Spine,[11291.00315074],[562.12576101],[1183.11088179],1
56,Neck,[11118.19063023],[610.11271284],[1415.15330533],1
56,Head,[10994.79891611],[670.25922675],[1557.27656396],1
56,RShoulder,[11212.55797696],[806.19459556],[1352.0175945],1
56,RElbow,[11445.13176087],[853.84901684],[1094.62066853],1
56,RHand,[11315.50320036],[868.45997699],[860.03138393],1
56,LShoulder,[11088.10914025],[397.06088412],[1387.01161725],1
56,LElbow,[11169.18808876],[298.44959694],[1037.19367127],1
56,LHand,[10910.49581006],[415.32684534],[955.20546415],1
57,Hips,[10945.17689347],[682.2558071],[969.14331343],1
57,RHip,[10961.52082129],[831.07283919],[963.59176836],1
57,RKnee,[10755.34848205],[815.01442539],[572.02623282],1
57,RAnkle,[10764.87618594],[759.65207555],[142.04238699],1
57,RFoot,[10611.91450735],[819.52747611],[79.41855106],1
57,LHip,[10900.60517221],[530.8206261],[958.44082874],1
57,LKnee,[11025.46687577],[584.81282519],[543.24620517],1
57,LAnkle,[11364.33603586],[439.71895955],[347.34324374],1
57,LFoot,[11448.01729356],[424.0206919],[165.98443784],1
57,Spine,[10865.30455307],[697.39293229],[1232.61721592],1
